calle,altura,latitud,longitud,ciudad_detectada,barrio,direccion_osm
Jose Hernandez,1843,-32.8563688,-60.722035,Granadero Baigorria,No especificado,"1843, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Tierra del Fuego,286,-32.8495479,-60.7048183,Granadero Baigorria,Bon Vivant,"286, Tierra del Fuego, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Rawson,610,-32.8498624,-60.7017781,Granadero Baigorria,Bon Vivant,"Rawson, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santa Fe,2192,-32.8517366,-60.714453,Granadero Baigorria,No especificado,"2192, Avenida Santa Fe, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1228,-32.8604855,-60.7181286,Granadero Baigorria,San Miguel,"Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,862,-32.8654683,-60.6993665,Granadero Baigorria,Mio,"Calle 1, Mio, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 2,68,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Don Bosco,913,-32.9246211,-60.6805423,Rosario,Islas Malvinas,"Don Bosco, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Buenos Aires,1515,-32.8653332,-60.7082512,Granadero Baigorria,Correo,"Avenida Buenos Aires, Correo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,965,-32.8614061,-60.7169741,Granadero Baigorria,San Miguel,"Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Namur,788,-32.7619131,-60.7668776,San Lorenzo,San Eduardo,"Namur, Lola Mora, San Eduardo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2200JUO, Argentina"
Francia,1049,-32.8602312,-60.7193781,Granadero Baigorria,San Miguel,"Pasaje Francia, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 2,311,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,302,-32.849655,-60.7110548,Granadero Baigorria,Los Robles,"302, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Namur,2021,-32.7619131,-60.7668776,San Lorenzo,San Eduardo,"Namur, Lola Mora, San Eduardo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2200JUO, Argentina"
Malvinas,2031,-32.8437458,-60.7112072,Granadero Baigorria,Los Robles,"Malvinas Argentinas, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Monteagudo,3369,-32.9211916,-60.6677467,Rosario,Islas Malvinas,"Monteagudo, Puerto Norte, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Zeballos,3252,-32.949681,-60.6697105,Rosario,Echesortu,"3252, Zeballos, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina"
Buenos Aires,988,-32.8632217,-60.7084487,Granadero Baigorria,Centro,"988, Avenida Buenos Aires, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Agrelo,2570,-32.889057,-60.6925278,Rosario,Alberdi,"2570, Pedro José Agrelo, Alberdi, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Las Heras,559,-32.8615131,-60.712195,Granadero Baigorria,San Miguel,"559, Las Heras, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 2,68,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Junin,1161,-32.8620731,-60.7176257,Granadero Baigorria,San Miguel,"1161, Junín, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 13,2462,-32.8471809,-60.7143793,Granadero Baigorria,Los Robles,"2462, Calle 13, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calfucura,841,-32.8533211,-60.7193666,Granadero Baigorria,No especificado,"841, Calfucurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Carriego,239,-32.8612234,-60.7138106,Granadero Baigorria,San Miguel,"Pasaje E. Carriego, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Balcarce,1018,-32.8642353,-60.7188024,Granadero Baigorria,San Miguel,"1018, Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2461,-32.8469737,-60.7133997,Granadero Baigorria,Los Robles,"2461, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1082,-32.8611177,-60.7208647,Granadero Baigorria,San Miguel,"1082, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,147,-32.8630898,-60.7044212,Granadero Baigorria,Centro,"147, Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 6,2831,-32.8467597,-60.7080448,Granadero Baigorria,Los Robles,"Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Fray Luis Beltran,7,-32.9115689,-60.6892895,Rosario,Domingo Faustino Sarmiento,"Fray Luis Beltrán, Domingo Faustino Sarmiento, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Arroyos,3229,-33.0139699,-60.6500194,Rosario,Bernardo de Irigoyen,"Pago de los Arroyos, Bernardo de Irigoyen, Presidente Roque Saenz Peña, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Marconi,1704,-32.8575577,-60.7245531,Granadero Baigorria,No especificado,"1704, Marconi, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Junin,1434,-32.8590795,-60.7185367,Granadero Baigorria,San Miguel,"1434, Junín, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 5,1052,-32.8437458,-60.7112072,Granadero Baigorria,Los Robles,"Malvinas Argentinas, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,618,-32.8604965,-60.7135869,Granadero Baigorria,San Miguel,"618, Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pueyrredon,1054,-32.8612718,-60.7042844,Granadero Baigorria,Centro,"1054, Pueyrredon, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santa Fe,335,-32.841966,-60.7005036,Granadero Baigorria,Santa Rita,"Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Galicia,394,-32.8744694,-60.6923056,Rosario,La Florida,"394, Galicia, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
El Mortero,3340,-32.9292879,-60.8456917,Funes,Zona 9,"3340, El Mortero, Cantegril, Zona 9, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Callao,1034,-32.8645759,-60.7216632,Granadero Baigorria,San Miguel,"1034, Callao, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1082,-32.8611177,-60.7208647,Granadero Baigorria,San Miguel,"1082, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
25 de Mayo,5005,-32.8712845,-60.6989572,Granadero Baigorria,La Florida,"25 de Mayo, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 3,S/N,-32.8628755,-60.7282963,Granadero Baigorria,Nuestra Señora de La Paz,"Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Díaz Vélez,1124,-32.8590172,-60.7219455,Granadero Baigorria,San Miguel,"Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calfucurá,842,-32.8534496,-60.7179082,Granadero Baigorria,No especificado,"842, Calfucurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 9,2481,-32.8460522,-60.7109058,Granadero Baigorria,Los Robles,"2481, Calle 9, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 4,67,-32.8456769,-60.7111457,Granadero Baigorria,Los Robles,"Intendente Ansoleaga, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pancho Ramírez,956,-32.8549222,-60.7204543,Granadero Baigorria,No especificado,"956, Pancho Ramírez, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santiago,1388,-32.8634672,-60.7276944,Granadero Baigorria,Nuestra Señora de La Paz,"Pasaje Santiago, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Miguel Cané,137,-32.8552682,-60.7252932,Granadero Baigorria,No especificado,"Miguel Cane, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 6,2231,-32.8499263,-60.7070061,Granadero Baigorria,Los Robles,"2231, Crucero General Belgrano, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Peralta,506,-32.9348502,-60.7382399,Rosario,Antártida Argentina,"Escuela 546 Ángela Peralta Pino, 8134, San Lorenzo, Antártida Argentina, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Calle 9,2611,-32.8436991,-60.711635,Granadero Baigorria,Los Robles,"2611, Calle 9, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Balcarce,1074,-32.8644275,-60.71959,Granadero Baigorria,San Miguel,"1074, Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Gaboto,3533,-32.8361986,-60.7169351,Granadero Baigorria,Los Robles,"Gaboto, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, S2154, Argentina"
López,2129,-32.8534793,-60.7216643,Granadero Baigorria,No especificado,"2129, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Liniers,1856,-32.8552985,-60.7165836,Granadero Baigorria,No especificado,"1856, Liniers, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
La Cautiva,1855,-32.8543687,-60.7126954,Granadero Baigorria,Bon Vivant,"1855, La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 2,368,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Eva Peron,241,-32.8311692,-60.7140597,Capitán Bermúdez,Villa del Prado,"Eva Perón, Villa del Prado, Capitán Bermudez, Municipio de Capitán Bermudez, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2154, Argentina"
Rosario,314,-32.8601038,-60.6985267,Granadero Baigorria,El Paraíso,"314, Rosario, El Paraíso, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,2250,-32.8654683,-60.6993665,Granadero Baigorria,Mio,"Calle 1, Mio, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jujuy,3520,-32.8376724,-60.7047243,Granadero Baigorria,Santa Rita,"Jujuy Pasage, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santiago,1399,-32.8634672,-60.7276944,Granadero Baigorria,Nuestra Señora de La Paz,"Pasaje Santiago, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipo,1868,-32.8555707,-60.7181225,Granadero Baigorria,No especificado,"1868, Maipo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Punta Arenas,525,-32.9650569,-60.6022529,Rosario,República de la Sexta,"Playa Punta Arenas, Avenida Manuel Belgrano, República de la Sexta, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Maipo,2073,-32.85382,-60.7185915,Granadero Baigorria,No especificado,"2073, Maipo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre Begnis,368,-32.850788,-60.7126539,Granadero Baigorria,Los Robles,"368, Avenida Silvestre Begnis, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 4,247,-32.8456769,-60.7111457,Granadero Baigorria,Los Robles,"Intendente Ansoleaga, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Rio Negro,3380,-32.8444844,-60.7043475,Granadero Baigorria,Bon Vivant,"Río Negro, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Baguales,1110,-32.8374458,-60.7188219,Granadero Baigorria,Lomas de Alicia,"Baguales, Lomas de Alicia, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,936,-32.865414,-60.7213683,Granadero Baigorria,San Miguel,"936, Callao, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1112,-32.86125,-60.7213806,Granadero Baigorria,San Miguel,"1112, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Asuncion,1059,-32.8636147,-60.7269704,Granadero Baigorria,Nuestra Señora de La Paz,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Asuncion,1070,-32.8636147,-60.7269704,Granadero Baigorria,Nuestra Señora de La Paz,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Joaquin V. Gonzalez,1856,-31.2414936,-61.4720621,Rafaela,Italia,"Joaquín V. González, Italia, Rafaela, Municipio de Rafaela, Departamento Castellanos, Santa Fe, S2300, Argentina"
Vicente Lopez,1052,-32.8653691,-60.7185336,Granadero Baigorria,San Miguel,"1052, Vicente López, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,873,-32.860294,-60.7177364,Granadero Baigorria,San Miguel,"873, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Berutti,820,-32.7802906,-60.7385089,Fray Luis Beltrán,Granaderos,"820, Berutti, Granaderos, Fray Luis Beltrán, Municipio de Fray Luis Beltrán, Gran Rosario, Departamento San Lorenzo, Santa Fe, 2156, Argentina"
Calchaqui,955,-32.9079259,-60.8800323,Roldán,Cotos de la Alameda,"955, Calchaqui, Parque Esmeralda, Cotos de la Alameda, Roldán, Municipio de Roldán, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2134, Argentina"
25 de Mayo,704,-32.8712845,-60.6989572,Granadero Baigorria,La Florida,"25 de Mayo, La Florida, Celedonio Escalada, Distrito Norte, Rosario, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre Begnis,3279,-32.8515544,-60.7355108,Granadero Baigorria,No especificado,"Avenida Silvestre Begnis, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre Begnis,788,-32.8509042,-60.7193889,Granadero Baigorria,No especificado,"788, Avenida Silvestre Begnis, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,638,-32.8594371,-60.7142582,Granadero Baigorria,San Miguel,"638, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,660,-32.8606294,-60.7141372,Granadero Baigorria,San Miguel,"660, Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Chubut,1140,-32.8445362,-60.7058237,Granadero Baigorria,Bon Vivant,"Chubut, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Catamarca,1027,-32.8613421,-60.6989165,Granadero Baigorria,Los Naranjos,"1027, Catamarca, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jose Hernandez,1998,-32.8552613,-60.722347,Granadero Baigorria,No especificado,"1998, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Diaz Velez,1197,-32.8591497,-60.7226772,Granadero Baigorria,San Miguel,"1197, Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Facundo Quiroga,1040,-32.8552057,-60.7215505,Granadero Baigorria,No especificado,"1040, Facundo Quiroga, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jose Hernandez,2027,-32.8548543,-60.7224465,Granadero Baigorria,No especificado,"2027, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jose Hernandez,2050,-32.854586,-60.7225637,Granadero Baigorria,No especificado,"2050, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipo,1869,-32.8556011,-60.7182459,Granadero Baigorria,No especificado,"1869, Maipo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Parana,855,-32.9375413,-60.6914622,Rosario,Echesortu,"855, Paraná, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina"
Chubut,2458,-32.8464562,-60.7058132,Granadero Baigorria,Bon Vivant,"2458, Chubut, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
6 de Enero,371,-32.8367167,-60.7153346,Granadero Baigorria,Los Robles,"8 de Enero, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,261,-32.8494882,-60.7102497,Granadero Baigorria,Los Robles,"261, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre Begnis,74,-32.8506108,-60.7072511,Granadero Baigorria,Los Robles,"74, Avenida Silvestre Begnis, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipo,1869,-32.8556011,-60.7182459,Granadero Baigorria,No especificado,"1869, Maipo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1159,-32.8615444,-60.7220251,Granadero Baigorria,San Miguel,"1159, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Lima,1539,-32.8628299,-60.728398,Granadero Baigorria,Nuestra Señora de La Paz,"Lima, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Arequipa,2490,-32.8734261,-60.7302279,Rosario,Celedonio Escalada,"Arequipa, Celedonio Escalada, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Charcas,1057,-32.8636037,-60.7187285,Granadero Baigorria,San Miguel,"1057, Charcas, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Moreno,3444,-32.8633748,-60.7052683,Granadero Baigorria,Centro,"Moreno, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,2136,-32.8534379,-60.7223596,Granadero Baigorria,No especificado,"2136, Callao, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,965,-32.8614061,-60.7169741,Granadero Baigorria,San Miguel,"Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1263,-32.8619403,-60.7235898,Granadero Baigorria,San Miguel,"1263, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Nansen,939,-32.922866,-60.677482,Rosario,Islas Malvinas,"939, Pasaje Don Orione, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Chorroarín,1742,-32.9280787,-60.7186531,Rosario,Fisherton Industrial,"Escuela 1095 Doctor Luis Chorroarín, 7157, Junín, Fisherton Industrial, Larrea y Empalme Graneros, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2007, Argentina"
Juncos,3303,-32.9370394,-60.8891243,Roldán,Puerto Roldán,"Los Juncos, Puerto Roldán, Roldán, Municipio de Roldán, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2134, Argentina"
Hipólito Yrigoyen,1453,-32.7471964,-60.7363782,San Lorenzo,Combate,"1453, Hipólito Yrigoyen, Combate, San Lorenzo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2200, Argentina"
Calle 2,359,-32.8475189,-60.7105448,Granadero Baigorria,Los Robles,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2606,-32.8474934,-60.713347,Granadero Baigorria,Los Robles,"Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Brasil,1271,-32.8441029,-60.6979099,Granadero Baigorria,Santa Rita,"Pasaje Brasil, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Viamonte,3298,-32.8695304,-60.7014411,Granadero Baigorria,Correo,"Viamonte, Correo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Presidente Roca,525,-32.9420647,-60.6442356,Rosario,Rosario Centro,"525, Presidente Roca, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
