calle,altura,latitud,longitud,ciudad_detectada,barrio,direccion_osm
Belgrano,818,-32.8645038,-60.7048614,Granadero Baigorria,Centro,"Belgrano, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Dorrego,2713,-32.842855,-60.7142063,Granadero Baigorria,Los Robles,"Coronel Dorrego, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Aromos,3300,-32.86326,-60.6922996,Granadero Baigorria,Los Naranjos,"Los Aromos, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipú,744,-32.946563,-60.6351355,Rosario,Rosario Centro,"744, Maipú, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Maipú,1630,-32.9569679,-60.6379632,Rosario,Rosario Centro,"1630, Maipú, Paseo Pellegrini, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Colón,1840,-32.839909,-60.7106958,Granadero Baigorria,Los Robles,"Cristobal Colón, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Estanislao López,1906,-32.8556754,-60.7207894,Granadero Baigorria,No especificado,"1906, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Chacabuco,1128,-32.8607889,-60.7059979,Granadero Baigorria,Centro,"1128, Chacabuco, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipú,2349,-32.9652712,-60.6399405,Rosario,República de la Sexta,"2349, Maipú, República de la Sexta, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Riobamba,3229,-32.9578409,-60.671614,Rosario,Rosario Centro,"3229, Riobamba, Rosario Centro, Cinco Esquinas, Distrito Oeste, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2003, Argentina"
Av. Andrés,3299,-32.8624336,-60.6971448,Granadero Baigorria,Los Naranjos,"Avenida Andrés Vietti, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
12 de Octubre,310,-32.8405771,-60.7105464,Granadero Baigorria,Los Robles,"12 de Octubre, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Paso,709,-32.9191728,-60.6743553,Rosario,Lisandro de la Torre,"709, Avenida Juan José Paso, Lisandro de la Torre, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Buenos Aires,706,-32.8653332,-60.7082512,Granadero Baigorria,Correo,"Avenida Buenos Aires, Correo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Jujuy,2109,-32.8376724,-60.7047243,Granadero Baigorria,Santa Rita,"Jujuy Pasage, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1094,-32.8611585,-60.7210201,Granadero Baigorria,San Miguel,"1094, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Guayaquil,1441,-32.88385,-60.6937982,Rosario,La Florida,"Guayaquil, La Florida, Alberdi, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Los Álamos,269,-32.9276739,-60.7910671,Funes,Los Solares,"269, Los Álamos, Los Solares, Zona 4, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Santiago,1216,-32.8634672,-60.7276944,Granadero Baigorria,Nuestra Señora de La Paz,"Pasaje Santiago, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santiago,1316,-32.8634672,-60.7276944,Granadero Baigorria,Nuestra Señora de La Paz,"Pasaje Santiago, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,302,-32.849655,-60.7110548,Granadero Baigorria,Los Robles,"302, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2349,-32.8490192,-60.7127827,Granadero Baigorria,Los Robles,"2349, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pellegrini,88,-32.9597456,-60.6265913,Rosario,Rosario Centro,"88, Avenida Carlos Pellegrini, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Almirante Brown,60,-32.8598714,-60.7206137,Granadero Baigorria,San Miguel,"Almirante Brown, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Granaderos,132,-32.8686538,-60.7171599,Granadero Baigorria,No especificado,"Avenida de los Granaderos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pavón,3479,-32.9940213,-60.6344509,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,3452,-32.9955844,-60.6343561,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,3410,-32.9955844,-60.6343561,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,3238,-33.0021558,-60.634079,Rosario,Parque Regional Sur,"Pavón, Parque Regional Sur, Presidente Roque Saenz Peña, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,077,-32.9940213,-60.6344509,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,1430,-32.9062362,-60.8573728,Funes,Funes Town,"1430, Pavón, Funes Town, Zona 8, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Pavón,267,-32.9940213,-60.6344509,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pavón,361,-32.9955844,-60.6343561,Rosario,General Las Heras,"Pavón, Villa Olímpica, General Las Heras, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Iguazú,727,-32.9205655,-60.6861987,Rosario,Lisandro de la Torre,"Iguazú, Lisandro de la Torre, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Pancho Ramírez,904,-32.854898,-60.7197362,Granadero Baigorria,No especificado,"904, Pancho Ramírez, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Maipú,2349,-32.9652712,-60.6399405,Rosario,República de la Sexta,"2349, Maipú, República de la Sexta, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina"
Formosa,921,-32.8415443,-60.7034249,Granadero Baigorria,Santa Rita,"Formosa, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Ibarlucea,1944,-32.8408161,-60.7029872,Granadero Baigorria,Los Robles,"Juan Manuel Ibarlucea, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Uruguay,2091,-32.8420327,-60.6978551,Granadero Baigorria,Santa Rita,"Pasaje Uruguay, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Avellaneda,2279,-32.9565612,-60.6833827,Rosario,Cinco Esquinas,"2279, Bulevar Nicolás Avellaneda, Cinco Esquinas, Distrito Oeste, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2003, Argentina"
Pueyrredón,877,-32.8632951,-60.7035665,Granadero Baigorria,Centro,"877, Pueyrredon, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Catriel,1150,-32.8556638,-60.7157862,Granadero Baigorria,No especificado,"Catriel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Dorrego,224,-32.842855,-60.7142063,Granadero Baigorria,Los Robles,"Coronel Dorrego, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 1,362,-32.850047,-60.7128305,Granadero Baigorria,Los Robles,"362, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2408,-32.8478538,-60.7131524,Granadero Baigorria,Los Robles,"2408, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1112,-32.86125,-60.7213806,Granadero Baigorria,San Miguel,"1112, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Buenos Aires,604,-32.8653332,-60.7082512,Granadero Baigorria,Correo,"Avenida Buenos Aires, Correo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,873,-32.860294,-60.7177364,Granadero Baigorria,San Miguel,"873, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Sauces,3361,-32.8638363,-60.6940242,Granadero Baigorria,Los Naranjos,"Los Sauces, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Sauces,3228,-32.8638363,-60.6940242,Granadero Baigorria,Los Naranjos,"Los Sauces, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Balcarce,354,-32.8636442,-60.7162121,Granadero Baigorria,San Miguel,"Balcarce, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
La Cautiva,1781,-32.8551143,-60.7124764,Granadero Baigorria,Bon Vivant,"1781, La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Las Acacias,8100,-32.8669043,-60.7294542,Ibarlucea,Autostrada,"8100, Las Acacias, Autostrada, Ybarlucea, Municipio de Ybarlucea, Gran Rosario, Departamento Rosario, Santa Fe, S2142, Argentina"
Díaz Vélez,1139,-32.8590172,-60.7219455,Granadero Baigorria,San Miguel,"Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Brown,715,-32.8587314,-60.7157918,Granadero Baigorria,San Miguel,"715, Almirante Brown, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Lugones,214,-32.857868,-60.7193536,Granadero Baigorria,No especificado,"Leopoldo Lugones, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2472,-32.846791,-60.7134511,Granadero Baigorria,Los Robles,"2472, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Asunción,70,-32.8636147,-60.7269704,Granadero Baigorria,Nuestra Señora de La Paz,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
José Hernández,2050,-32.854586,-60.7225637,Granadero Baigorria,No especificado,"2050, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Felipe Varela,1358,-32.8632559,-60.7239702,Granadero Baigorria,San Miguel,"Felipe Varela, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Díaz Vélez,27,-32.8590172,-60.7219455,Granadero Baigorria,San Miguel,"Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Paine,785,-32.8570825,-60.7173703,Granadero Baigorria,No especificado,"785, Paine, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pueyrredón,542,-32.8615431,-60.7041803,Granadero Baigorria,Centro,"Pueyrredon, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Santa Fe,1918,-32.8540186,-60.7136754,Granadero Baigorria,No especificado,"1918, Avenida Santa Fe, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Roca,763,-32.8382514,-60.7037792,Granadero Baigorria,Santa Rita,"Julio A. Roca, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pancho Ramírez,576,-32.8537103,-60.7151455,Granadero Baigorria,No especificado,"576, Pancho Ramírez, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
El Bagual,3323,-32.9122088,-60.9332204,Roldán,Punta Chacra,"El Bagual, Punta Chacra, Roldán, Municipio de Roldán, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2134, Argentina"
Friuli,1351,-32.9372304,-60.7352786,Rosario,Antártida Argentina,"Friuli, Antártida Argentina, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Gabriela Mistral,2123,-32.8878856,-60.717488,Rosario,Distrito Norte,"Gabriela Mistral, Jose Ignacio Rucci, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Rincón,1026,-32.979497,-60.6340591,Rosario,General San Martín,"Rincón, La Tablada, General San Martín, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Paine,273,-32.8565209,-60.7154963,Granadero Baigorria,No especificado,"Paine, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
San Martín,1216,-32.8590188,-60.7033814,Granadero Baigorria,Centro,"1216, Avenida José de San Martín, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 11,2367,-32.8485283,-60.7120304,Granadero Baigorria,Los Robles,"2367, Calle 11, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 12,2477,-32.846708,-60.7134744,Granadero Baigorria,Los Robles,"2477, Calle 12, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Las Lengas,2419,-32.8500774,-60.716121,Granadero Baigorria,No especificado,"2419, Las Lengas, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
El Bagual,3220,-32.9102949,-60.9327295,Roldán,Punta Chacra Weekend 1,"El Bagual, Punta Chacra Weekend 1, Roldán, Municipio de Roldán, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2134, Argentina"
Ancón,3273,-32.9675984,-60.6883888,Rosario,Bella Vista,"3273, Pasaje Ancon, La Banana, Bella Vista, Distrito Oeste, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2003, Argentina"
Ancón,3514,-32.9685081,-60.6886913,Rosario,Bella Vista,"Pasaje Ancon, La Banana, Bella Vista, Distrito Oeste, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Los Olivos,3251,-32.8388398,-60.7038306,Granadero Baigorria,Santa Rita,"3251, Los Olivos, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Corrientes,1077,-32.8606065,-60.7004844,Granadero Baigorria,Los Naranjos,"1077, Corrientes, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Paine,973,-32.8565209,-60.7154963,Granadero Baigorria,No especificado,"Paine, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Irigoyen,1941,-32.8456319,-60.7021667,Granadero Baigorria,Bon Vivant,"Hipólito Irigoyen, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Lima,1782,-32.8628299,-60.728398,Granadero Baigorria,Nuestra Señora de La Paz,"Lima, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,977,-32.8614061,-60.7169741,Granadero Baigorria,San Miguel,"Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Belgrano,623,-32.8645038,-60.7048614,Granadero Baigorria,Centro,"Belgrano, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Paso,2392,-32.9244455,-60.8083323,Funes,Zona 2,"2392, Juan José Paso, Funes R., Zona 2, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
Dante Alighieri,17,-32.8416647,-60.7052288,Granadero Baigorria,Bon Vivant,"Dante Alighieri, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Las Heras,962,-32.8628868,-60.718294,Granadero Baigorria,San Miguel,"962, Las Heras, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Catamarca,894,-32.8626628,-60.6988827,Granadero Baigorria,Los Naranjos,"894, Catamarca, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Marconi,1561,-32.8584403,-60.7248112,Granadero Baigorria,No especificado,"1561, Marconi, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Silvestre Begnis,363,-32.8507852,-60.7125693,Granadero Baigorria,Los Robles,"363, Avenida Silvestre Begnis, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
