registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0297,Namuncurá,933,Granadero Baigorria,No especificado,-32.8554403,-60.7186713,0.757992,"933, Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",namuncura|933|granadero baigorria,3,APTO_ENTRENAMIENTO,
DG-0298,Namuncurá,961,Granadero Baigorria,No especificado,-32.8557593,-60.7202303,0.731808,"961, Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",namuncura|961|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0299,Baterías,971,Rosario,Alberto Olmedo,-32.9360979,-60.6558219,11.474255,"Rapibat Baterias, Salta, Área Comercial Pichincha, Alberto Olmedo, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",baterias|971|rosario,1,APTO_ENTRENAMIENTO,
DG-0300,Felipe Varela,1388,Granadero Baigorria,San Miguel,-32.8632559,-60.7239702,1.534462,"Felipe Varela, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",felipe varela|1388|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0301,La Cautiva,1363,Granadero Baigorria,Bon Vivant,-32.8545260,-60.7125890,1.093638,"La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",la cautiva|1363|granadero baigorria,4,APTO_ENTRENAMIENTO,
DG-0302,La Cautiva,1339,Granadero Baigorria,Bon Vivant,-32.8545260,-60.7125890,1.093638,"La Cautiva, Bon Vivant, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",la cautiva|1339|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0303,Francia,921,Granadero Baigorria,San Miguel,-32.8602312,-60.7193781,1.231779,"Pasaje Francia, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",francia|921|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0304,Estanislao López,2073,Granadero Baigorria,No especificado,-32.8542111,-60.7214049,0.536603,"2073, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",estanislao lopez|2073|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0305,Díaz Vélez,1124,Granadero Baigorria,San Miguel,-32.8590172,-60.7219455,1.060261,"Díaz Vélez bis, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",diaz velez|1124|granadero baigorria,3,APTO_ENTRENAMIENTO,
DG-0306,Estanislao López,1950,Granadero Baigorria,No especificado,-32.8554315,-60.7208750,0.680079,"1950, Estanislao López, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",estanislao lopez|1950|granadero baigorria,1,APTO_ENTRENAMIENTO,
