version_cache,lat_origen,lon_origen,lat_destino,lon_destino,distancia_metros,tiempo_base_min,fuente_distancia,fuente_tiempo
pedemonte-vial-v1,-32.849900,-60.687500,-32.856200,-60.716800,3424.578000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.861700,-60.746300,7382.972000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.870300,-60.704900,4366.049000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.878500,-60.693800,5748.379000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.884300,-60.721600,7225.272000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.849900,-60.687500,-32.893000,-60.735200,9077.852000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.815600,-60.742100,6511.172000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.824800,-60.736900,6271.207000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.829200,-60.701800,4676.546000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.835700,-60.728600,3017.436000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.842900,-60.711500,2166.421000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.849501,-60.722653,1174.440000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.849900,-60.687500,3469.446000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.861700,-60.746300,4244.889000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.870300,-60.704900,2370.670000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.878500,-60.693800,4813.136000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.884300,-60.721600,4178.911000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.856200,-60.716800,-32.893000,-60.735200,8142.608000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859250,-60.751050,-32.832150,-60.699350,9085.987000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859250,-60.751050,-32.849501,-60.722653,4448.225000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859250,-60.751050,-32.889450,-60.714250,7626.480000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859501,-60.702653,-32.831000,-60.719000,4415.828000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859501,-60.702653,-32.841000,-60.721000,4561.248000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.859501,-60.702653,-32.849501,-60.722653,3146.653000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.815600,-60.742100,7408.980000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.824800,-60.736900,7169.014000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.829200,-60.701800,8634.940000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.835700,-60.728600,5874.456000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.842900,-60.711500,6124.815000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.849501,-60.722653,4286.192000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.849900,-60.687500,7427.840000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.856200,-60.716800,4244.889000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.870300,-60.704900,4742.766000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.878500,-60.693800,9210.720000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.884300,-60.721600,4290.850000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.861700,-60.746300,-32.893000,-60.735200,6884.209000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.815600,-60.742100,10223.934000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.824800,-60.736900,9983.969000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.829200,-60.701800,5615.695000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.835700,-60.728600,6299.271000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.842900,-60.711500,3910.884000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.849501,-60.722653,4456.275000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.849900,-60.687500,4408.595000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.856200,-60.716800,2370.670000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.861700,-60.746300,4742.766000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.878500,-60.693800,2311.622000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.884300,-60.721600,3341.493000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.870300,-60.704900,-32.893000,-60.735200,5231.658000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.815600,-60.742100,11263.778000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.824800,-60.736900,11023.813000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.829200,-60.701800,6497.644000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.835700,-60.728600,7181.220000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.842900,-60.711500,4792.833000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.849501,-60.722653,5338.224000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.849900,-60.687500,5290.544000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.856200,-60.716800,4219.397000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.861700,-60.746300,6855.687000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
pedemonte-vial-v1,-32.878500,-60.693800,-32.870300,-60.704900,1975.832000,,ANYLOGIC_ROUTE_PROVIDER,VELOCIDAD_BASE_CONFIG
